segment_name,segment_value,sessions,purchases,purchase_cr,non_purchase_sessions,loss_share_total_non_purchases,impact_score
user_type,returning,119947,33562,0.2798069147206683,86385,0.9995950011571395,62213.879671855066
device,mobile,65942,18469,0.28007946377119286,47473,0.5493288590604026,34176.78761639016
device,desktop,45547,12750,0.27993062111664874,32797,0.37950705855126127,23616.11541923727
source,organic,40776,11268,0.2763390229546792,29508,0.3414487387178894,21353.788110653328
price_bucket,100+,36189,9176,0.2535577109066291,27013,0.3125781069196945,20163.645555279225
source,direct,29861,8387,0.2808680218344998,21474,0.2484841471881509,15442.640099125949
price_bucket,50-100,29468,8342,0.2830867381566445,21126,0.244457301550567,15145.50956970273
price_bucket,25-50,27921,8147,0.29178754342609503,19774,0.22881277482064338,14004.193116292397
price_bucket,<=25,26422,7915,0.2995609719173416,18507,0.2141518167090951,12963.02509272576
category,Books,21033,6339,0.301383540151191,14694,0.17003008562832678,10265.470261018398
category,Toys,19779,5775,0.2919763385408767,14004,0.16204582272622078,9915.163355073562
category,Beauty,18521,5421,0.2926947788996275,13100,0.1515852811849109,9265.69839641488
category,Fashion,16391,4556,0.2779574156549326,11835,0.13694746586438325,8545.373985723872
category,Home & Kitchen,16080,4392,0.27313432835820894,11688,0.13524647072436935,8495.605970149254
category,Sports,15449,4149,0.2685610719140397,11300,0.13075676926637353,8265.259887371352
category,Electronics,12747,2948,0.23127010276927903,9799,0.11338810460541542,7532.784262963834
source,social,14389,4024,0.2796580721384391,10365,0.11993751446424439,7466.344082285079
source,paid,14465,4121,0.2848945731075009,10344,0.11969451515852812,7397.050535776011
source,email,10949,3056,0.27911224769385334,7893,0.09133302476278639,5689.967028952416
source,referral,9560,2724,0.2849372384937239,6836,0.07910205970840083,4888.169037656903
device,tablet,8511,2361,0.2774057102573141,6150,0.07116408238833603,4443.954881917518
user_type,new,53,18,0.33962264150943394,35,0.00040499884286044897,23.113207547169814
